DATE,CSUSHPISA,Year,Month,Crude oil (WTISPLC),COMPUTSA(Construction materials cost),Value(Consumer Confidence),CUUR0000SEHA(Price to Rent),Q4TR771BIS(Real Estate Market Index, GDP, Per Capita, Growth Rate,RSAHORUSQ156S(US national home ownership),BOGZ1FL513178005Q(US Property Tax), GDP Growth (%), Annual Change,GDP Per Capita(US $),Annual Growth Rate,Inflation Rate(%),Annual Change(Inflation Rate),Poverty Rate % Under US $5.50 Per Day,Change(Poverty Rate), Population, Annual Growth Rate(Population),Unemployement Rate %,Annual Change(US unemployment rate)
2000-12-31,109.493,2000.5,6.5,29.02,1488.5,101.3706,187.89999999999998,-1.3265,10439.025,36819.61992,2.49,67.57499999999999,12105.0,4.0772,-0.72,36329.9561,5.26,3.3769,1.19,1.5,0.0,282398554.0,1.15,3.99,-0.23
2001-01-01,109.846,2001.0,1.0,29.58,1456.0,101.1055,188.2,-1.3265,10439.025,36819.61992,2.49,67.6,12919.0,3.8369769230769233,-0.9046153846153846,36329.9561,5.26,3.3769,1.19,1.5,0.0,282634857.0,1.1453846153846152,3.99,-0.23
2001-02-01,110.499,2001.0,2.0,29.61,1536.0,100.7179,188.9,-1.3265,10439.025,36819.61992,2.49,67.66666666666666,12595.333333333334,3.5967538461538466,-1.0892307692307692,36329.9561,5.26,3.3769,1.19,1.5,0.0,282871160.0,1.1407692307692308,3.99,-0.23
2001-03-01,111.108,2001.0,3.0,27.24,1470.0,100.5507,189.6,-1.3265,10472.879,36854.40354,-1.14,67.73333333333333,12271.666666666666,3.3565307692307695,-1.2738461538461539,36329.9561,5.26,3.3769,1.19,1.5,0.0,283107463.0,1.136153846153846,3.99,-0.23
2001-04-01,111.651,2001.0,4.0,27.41,1574.0,100.5172,190.2,-1.3265,10472.879,36854.40354,-1.14,67.8,11948.0,3.1163076923076924,-1.4584615384615387,36329.9561,5.26,3.3769,1.19,1.5,0.0,283343766.0,1.1315384615384616,3.99,-0.23
2001-05-01,112.163,2001.0,5.0,28.64,1497.0,100.6418,191.0,-1.3265,10472.879,36854.40354,-1.14,67.83333333333333,11936.0,2.876084615384616,-1.643076923076923,36329.9561,5.26,3.3769,1.19,1.5,0.0,283580069.0,1.126923076923077,3.99,-0.23
2001-06-01,112.796,2001.0,6.0,27.6,1654.0,100.7219,191.6,-1.3265,10597.822,37206.4893,2.34,67.86666666666667,11924.0,2.6358615384615387,-1.827692307692308,36329.9561,5.26,3.3769,1.19,1.5,0.0,283816372.0,1.1223076923076922,3.99,-0.23
2001-07-01,113.491,2001.0,7.0,26.45,1582.0,100.6347,192.3,-1.3265,10597.822,37206.4893,2.34,67.9,11912.0,2.3956384615384616,-2.012307692307693,36329.9561,5.26,3.3769,1.19,1.5,0.0,284052675.0,1.1176923076923078,3.99,-0.23
2001-08-01,114.167,2001.0,8.0,27.47,1615.0,100.329,193.1,-1.3265,10597.822,37206.4893,2.34,67.9,11701.0,2.1554153846153845,-2.196923076923077,36329.9561,5.26,3.3769,1.19,1.5,0.0,284288978.0,1.113076923076923,3.99,-0.23
2001-09-01,114.811,2001.0,9.0,25.88,1551.0,99.8886,193.9,-1.3265,10596.294,37103.9484,-1.66,67.9,11490.0,1.9151923076923079,-2.3815384615384616,36329.9561,5.26,3.3769,1.19,1.5,0.0,284525281.0,1.1084615384615384,3.99,-0.23
2001-10-01,115.309,2001.0,10.0,22.21,1599.0,99.72982,194.7,-1.3265,10596.294,37103.9484,-1.66,67.9,11279.0,1.6749692307692308,-2.5661538461538465,36329.9561,5.26,3.3769,1.19,1.5,0.0,284761584.0,1.103846153846154,3.99,-0.23
2001-11-01,115.857,2001.0,11.0,19.67,1555.0,99.87959,195.5,-1.3265,10596.294,37103.9484,-1.66,67.9,11141.0,1.4347461538461537,-2.7507692307692313,36329.9561,5.26,3.3769,1.19,1.5,0.0,284997887.0,1.0992307692307692,3.99,-0.23
2001-12-01,116.456,2001.0,12.0,19.33,1693.0,100.242,196.4,-1.3265,10660.294,37233.26732,1.09,67.9,11003.0,1.194523076923077,-2.935384615384616,36329.9561,5.26,3.3769,1.19,1.5,0.0,285234190.0,1.0946153846153848,3.99,-0.23
2001-12-31,116.7995,2001.5,6.5,19.5,1662.5,100.41725,196.7,-1.3265,10660.294,37233.26732,1.09,67.9,10865.0,0.9543,-3.12,37133.6231,2.21,2.8262,-0.55,1.7,0.2,285470493.0,1.09,4.73,0.74
